artist,track,album,listeners,playcount,tags,genre,track_id
Hakos Baelz,パクパク成敗,ほろはにヶ丘高校 -Originals-,536,3284,,,
Hakos Baelz,Play Dice! - Instrumental,Unknown,484,2381,,,
Hakos Baelz,BITE! カム! BITE! - Instrumental,Unknown,129,554,,,
Hakos Baelz,Play Dice! (TeddyLoid Re-Arrangement) - Instrumental,Unknown,113,644,,,
Hakos Baelz,HIDE & SEEK 〜なかよくケンカしな！〜 - Instrumental,Unknown,105,361,,,
Hakos Baelz,Konoyo Wo Terasu Mono,Unknown,98,400,hololive,hololive,
Hakos Baelz,PAKU-PAKU-SEIBAI,Holohoneygaoka High School -Originals-,61,590,hololive,hololive,
Hakos Baelz,Los! Los! Los!,Unknown,59,475,hololive,hololive,
Hakos Baelz,PSYCHO （Instrumental）,PSYCHO,48,303,,,
Hakos Baelz,【MV】Los! Los! Los! || HAKOS BAELZ COVER,Unknown,42,154,,,
Hakos Baelz,Play Dice! （Midnight ver.）,hololive music studio - Midnight,41,370,,,
Hakos Baelz,"BOOM (feat. retasu nanajyo, Zekk, Zekk)",Unknown,38,143,,,
Hakos Baelz,Play Dice! (Instrumental),Play Dice! - Single,36,178,,,
Hakos Baelz,R x R x R,Unknown,34,168,,,
Hakos Baelz,Ohayo-EST Gozai-MASTER ?,Unknown,31,175,hololive,hololive,
Hakos Baelz,Mind Craft ▶️ hololive English Cover,Unknown,31,132,,,
Hakos Baelz,【MV】Crazy Scary Holy Fantasy - MYTH & ROID || Hakos Baelz X Sakamata Chloe Cover,Unknown,29,65,,,
Hakos Baelz,"Play Dice! (feat. かめりあ, Hakos Baelz, かめりあ, かめりあ)",Unknown,28,88,,,
Hakos Baelz,POP/STARS - K/DA,Unknown,26,100,,,
Hakos Baelz,"DROWN (feat. Datenkou, Martin Turabian, Martin Turabian)",Unknown,26,64,,,
Hakos Baelz,【MV】Mind Craft ▶️ hololive English Cover,Unknown,25,93,,,
Hakos Baelz,"MESS (feat. KIRA, Camellia, Camellia)",Unknown,24,428,,,
Hakos Baelz,"PSYCHO (feat. ZAQ, HibikiTakahashi, Tom-H@ck, HibikiTakahashi)",Unknown,24,68,,,
Hakos Baelz,【MV】STRANGE - ¿? || HAKOS BAELZ COVER,Unknown,23,126,,,
Hakos Baelz,Crazy Scary Holy Fantasy - MYTH & ROID,Unknown,22,140,,,
Hakos Baelz,【MV】POP/STARS - K/DA || Hakos Baelz ・Ninomae Ina'nis ・Moona Hoshinova ・Ayunda Risu COVER,Unknown,20,111,,,
Hakos Baelz,IDOL - YOASOBI,Unknown,19,67,,,
Hakos Baelz,STRANGE,Unknown,18,256,hololive,hololive,
Hakos Baelz,Psycho (Instrumental),Unknown,18,83,,,
Hakos Baelz,Play Dice! (Midnight ver.),Unknown,18,42,,,
Hakos Baelz,Bite! Kamu! Bite!,Unknown,17,108,,,
Hakos Baelz,この世を照らすもの - konoyo wo terasu mono,Unknown,17,36,,,
Hakos Baelz,【MV】IDOL - YOASOBI || HAKOS BAELZ COVER,Unknown,17,36,,,
Hakos Baelz,"La Roja (feat. Kris Roche, Kris Roche, Kris Roche, Cackie Jhen)",Unknown,16,125,,,
Hakos Baelz,"The Fight Song (feat. Karen Yamaguchi, Yu-ki Kokubo, Eunsol, Eunsol(1008))",Unknown,16,40,,,
Hakos Baelz,【MV】アニマル  || preYdator COVER,Unknown,16,21,,,
Hakos Baelz,【MV】Hontou no Oto - KOKIA || HAKOS BAELZ COVER,Unknown,15,27,,,
Hakos Baelz,STRANGE - ¿?,Unknown,13,74,,,
Hakos Baelz,すきっちゅーの！- HoneyWorks,Unknown,13,34,,,
Hakos Baelz,COLOUR (feat. Tsunomaki Watame),Unknown,13,33,,,
Hakos Baelz,Play Dice! （Instrumental）,Unknown,13,17,,,
Hakos Baelz,HAPPY HALLOWEEN,Unknown,12,374,,,
Hakos Baelz,Hontou no Oto,Unknown,12,132,,,
Hakos Baelz,BOOM (Round Wave Crusher Remix),Unknown,12,106,,,
Hakos Baelz,Play Dice! (Midnight Version),Unknown,12,79,,,
Hakos Baelz,【ORIGINAL MV】R x R x R || HAKOS BAELZ,Unknown,11,134,,,
Hakos Baelz,【MV】POP/STARS - K/DA,Unknown,11,68,,,
Hakos Baelz,"EIEN (feat. Luna Haruse, Yuuki Furuhashi, Yuuki Furuhashi)",Unknown,11,20,,,
Hakos Baelz,【ORIGINAL MV】PSYCHO || HAKOS BAELZ,Unknown,10,129,,,
Hakos Baelz,"パクパク成敗 (feat. HoneyWorks, MARUMOCHI, HoneyWorks, MARUMOCHI, HoneyWorks, MARUMOCHI)",Unknown,10,21,,,
Hakos Baelz,【MV】すきっちゅーの！- HoneyWorks || HAKOS BAELZ COVER,Unknown,10,21,,,
Hakos Baelz,"818 (feat. Kris Roche, Kris Roche, Kris Roche)",Unknown,10,17,,,
Hakos Baelz,パクパク成敗 - PAKU-PAKU-SEIBAI,Unknown,10,14,,,
Hakos Baelz,【MV】HAPPY HALLOWEEN - junky || HAKOS BAELZ COVER,Unknown,10,12,,,
Hakos Baelz,A Million Miles Away,Unknown,9,179,hololive,hololive,
Hakos Baelz,"GEKIRIN (feat. Camellia, Kris Roche, Camellia, Camellia)",Unknown,9,18,,,
Hakos Baelz,"COLOUR (feat. Tsunomaki Watame, Fujimura Konomi, Endo Shingo, Endo Shingo)",Unknown,9,10,,,
Hakos Baelz,Ohayo‐EST Gozai‐MASTER ♡,Unknown,8,78,,,
Hakos Baelz,Play Dice! (TeddyLoid Re-Arrangement) [Instrumental],Play Dice! (TeddyLoid Re-Arrangement) - Single,8,63,,,
Hakos Baelz,【ANIMATION MV】A Million Miles Away - BELLE || HAKOS BAELZ COVER,Unknown,8,33,,,
Hakos Baelz,"この世を照らすもの (feat. HIMI IZUTSU, Kentaro Ishii, Kentaro Ishii)",Unknown,8,23,,,
Hakos Baelz,"Ohayo-EST Gozai-MASTER ♡ (feat. Camellia, Kris Roche, Camellia, Camellia)",Unknown,8,14,,,
Hakos Baelz,【MV】Daikirai Na Hazu Datta - Honeyworks || HAKOS BAELZ X IRYS COVER,Unknown,8,13,,,
Hakos Baelz,PSYCHO (BLKFLAGZ Remix),Unknown,8,11,,,
Hakos Baelz,HIDE & SEEK 〜Nakayoku Kenkashina〜,Unknown,8,10,,,
Hakos Baelz,【ORIGINAL MV】PSYCHO,Unknown,7,85,,,
Hakos Baelz,"RIDE (feat. Karen Yamaguchi, Zekk, Zekk, TSK)",Unknown,7,31,,,
Hakos Baelz,E I E N,Unknown,7,19,,,
Hakos Baelz,PSYCHO (TSK Remix),Unknown,7,14,,,
Hakos Baelz,"GIMME MORE (feat. LUSCHKA, Kris Roche, TSK, TSK)",Unknown,7,12,,,
Hakos Baelz,【MV】約束の絆 - Future Star - Kyoukai no Kanata || HAKOS BAELZ【踊って歌ってみた】,Unknown,7,8,,,
Hakos Baelz,Idol,Unknown,6,40,"j-pop, hololive","j-pop, hololive",
Hakos Baelz,アニマル,Unknown,6,16,,,
Hakos Baelz,【ORIGINAL MV】E I E N  || Hakos Baelz,Unknown,6,15,,,
Hakos Baelz,Play Dice! (TeddyLoid Re-Arrangement)（Instrumental）,Play Dice! (TeddyLoid Re-Arrangement),6,13,,,
Hakos Baelz,Daikirai Na Hazu Datta - Honeyworks,Unknown,6,12,,,
Hakos Baelz,what... did i just do,Unknown,5,5,,,
Hakos Baelz,【MV】Suki Dakara・好きだから。 ／ 『ユイカ』 || HAKOS BAELZ  X  H A Y K O,Unknown,5,5,,,
Hakos Baelz,暁,Unknown,4,44,,,
hololive IDOL PROJECT,Shiny Smily Story,Shiny Smily Story,8139,86225,hololive,hololive,
hololive IDOL PROJECT,BLUE CLAPPER,"hololive IDOL PROJECT 1st Live.『Bloom,』",6277,81302,"hololive, vtuber","hololive, vtuber",
hololive IDOL PROJECT,至上主義アドトラック,"hololive IDOL PROJECT 1st Live.『Bloom,』",5185,57564,,,
hololive IDOL PROJECT,百花繚乱花吹雪,百花繚乱花吹雪 - Single,5054,55674,,,
hololive IDOL PROJECT,Suspect,Suspect,4687,60000,electro swing,electro swing,
hololive IDOL PROJECT,今宵はHalloween Night!,今宵はHalloween Night!,4380,47393,,,
hololive IDOL PROJECT,キラメキライダー☆,キラメキライダー☆,4195,36572,hololive,hololive,
hololive IDOL PROJECT,BLUE CLAPPER - Bouquet ver.,Unknown,3522,22396,,,
hololive IDOL PROJECT,Suspect - Bouquet ver.,Unknown,3431,26996,,,
hololive IDOL PROJECT,STARDUST SONG,"hololive IDOL PROJECT 1st Live.『Bloom,』",3249,35557,,,
hololive IDOL PROJECT,夢見る空へ,夢見る空へ,3136,22942,hololive,hololive,
hololive IDOL PROJECT,Candy-Go-Round,Candy-Go-Round - Single,2609,23779,,,
hololive IDOL PROJECT,あすいろClearSky,あすいろClearSky - Single,2335,18960,,,
hololive IDOL PROJECT,Dreaming Days,Dreaming Days,2236,17580,,,
hololive IDOL PROJECT,今宵はHalloween Night! - Bouquet ver.,Unknown,1726,11103,,,
hololive IDOL PROJECT,STARDUST SONG - Bouquet ver.,Unknown,1722,9174,,,
hololive IDOL PROJECT,Dreaming Days - Midnight ver.,Unknown,1651,12127,,,
hololive IDOL PROJECT,でいり〜だいあり〜!,Unknown,1628,8791,,,
hololive IDOL PROJECT,Prism Melody,Prism Melody,1567,10689,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,Our Bright Parade,Our Bright Parade,1526,13224,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,大切フォトグラフ - Bouquet ver.,Unknown,1462,8664,,,
hololive IDOL PROJECT,でいり〜だいあり〜!,でいり〜だいあり〜! - Single,1447,11029,,,
hololive IDOL PROJECT,BLUE CLAPPER - Midnight ver.,Unknown,1433,12470,,,
hololive IDOL PROJECT,青春アーカイブ,青春アーカイブ,1340,12126,,,
hololive IDOL PROJECT,Candy-Go-Round - Bouquet ver.,Unknown,1185,6522,,,
hololive IDOL PROJECT,Dreaming Days - Bouquet ver.,Unknown,1175,5785,,,
hololive IDOL PROJECT,Shiny Smily Story - 2022 ver.,Unknown,1164,6888,,,
hololive IDOL PROJECT,百花繚乱花吹雪 - Midnight ver.,Unknown,1068,8436,,,
hololive IDOL PROJECT,至上主義アドトラック - Midnight ver.,Unknown,1059,8511,,,
hololive IDOL PROJECT,至上主義アドトラック - Bouquet ver.,Unknown,1051,5893,,,
hololive IDOL PROJECT,STARDUST SONG - Midnight ver.,Unknown,1049,8906,,,
hololive IDOL PROJECT,至上主義アドトラック -TEKINA//remix-,hololive meets DJ'TEKINA//SOMETHING remix,1009,6308,,,
hololive IDOL PROJECT,Shiny Smily Story - Midnight ver.,Unknown,985,8300,,,
hololive IDOL PROJECT,Suspect - Midnight ver.,Unknown,980,8369,,,
hololive IDOL PROJECT,今宵はHalloween Night! - Midnight ver.,Unknown,974,9443,,,
hololive IDOL PROJECT,BLUE CLAPPER -PandaBoYremix-,hololive meets PandaBoY remix,947,5384,,,
hololive IDOL PROJECT,Candy-Go-Round - Midnight ver.,Unknown,930,7437,,,
hololive IDOL PROJECT,Shiny Smily Story - Bouquet ver.,Unknown,928,4660,,,
hololive IDOL PROJECT,あすいろClearSky - Midnight ver.,Unknown,915,7374,,,
hololive IDOL PROJECT,アバンチュール♡ホリック,アバンチュール♡ホリック,890,8207,,,
hololive IDOL PROJECT,Sparklers,Sparklers - Single,850,4828,hololive,hololive,
hololive IDOL PROJECT,キラメキライダー☆ - Midnight ver.,Unknown,844,7773,,,
hololive IDOL PROJECT,百花繚乱花吹雪 - Bouquet ver.,Unknown,826,4950,,,
hololive IDOL PROJECT,Capture the Moment,Capture the Moment,819,4073,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,大切フォトグラフ - Midnight ver.,Unknown,815,6855,,,
hololive IDOL PROJECT,飛んでK!ホロライブサマー,Unknown,803,4072,,,
hololive IDOL PROJECT,夢見る空へ - Midnight ver.,Unknown,776,6849,,,
hololive IDOL PROJECT,ホロメン音頭,ホロメン音頭,749,3943,,,
hololive IDOL PROJECT,キラメキライダー☆ - Bouquet ver.,Unknown,741,3427,,,
hololive IDOL PROJECT,あすいろClearSky - Bouquet ver.,Unknown,730,3636,,,
hololive IDOL PROJECT,BLUE CLAPPER - Twilight ver.,Unknown,673,6338,,,
hololive IDOL PROJECT,夢見る空へ - Bouquet ver.,Unknown,673,3103,,,
hololive IDOL PROJECT,でいり〜だいあり〜! - Midnight ver.,Unknown,619,3896,,,
hololive IDOL PROJECT,今宵はHalloween Night! - Twilight ver.,Unknown,596,4970,,,
hololive IDOL PROJECT,STARDUST SONG - Twilight ver.,Unknown,583,4872,,,
hololive IDOL PROJECT,あすいろClearSky - Twilight ver.,Unknown,556,4709,,,
hololive IDOL PROJECT,Candy-Go-Round - Sunshine ver.,Unknown,551,4259,,,
hololive IDOL PROJECT,キラメキライダー☆ - Sunshine ver.,Unknown,519,4188,,,
hololive IDOL PROJECT,夢見る空へ - Sunshine ver.,Unknown,497,3897,,,
hololive IDOL PROJECT,ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.,ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.,484,2458,,,
hololive IDOL PROJECT,でいり〜だいあり〜! - Bouquet ver.,Unknown,469,2182,,,
hololive IDOL PROJECT,Merry Holy Date♡,Merry Holy Date♡,426,1909,hololive,hololive,
hololive IDOL PROJECT,BLUE CLAPPER - Instrumental,BLUE CLAPPER - Single,380,1454,,,
hololive IDOL PROJECT,Hyakka Ryoran Hanafubuki,Hyakka Ryoran Hanafubuki,358,2270,,,
hololive IDOL PROJECT,でいり〜だいあり〜! - Sunshine ver.,Unknown,346,2483,,,
hololive IDOL PROJECT,でいり〜だいあり〜! - Midnight ver.,Unknown,323,2166,,,
hololive IDOL PROJECT,Suspect (Bouquet Ver.),Bouquet,320,2155,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,でいり〜だいあり〜! - Bouquet ver.,Unknown,307,1055,,,
hololive IDOL PROJECT,Suspect - Instrumental,Unknown,295,1351,,,
hololive IDOL PROJECT,Shiny Smily Story - Instrumental,Unknown,295,1201,,,
hololive IDOL PROJECT,今宵はHalloween Night! - Instrumental,Unknown,295,850,,,
hololive IDOL PROJECT,Shiny Smily Story - Daybreak ver.,Unknown,289,2588,,,
hololive IDOL PROJECT,でいり〜だいあり〜！ - Midnight ver.,Unknown,276,1391,,,
hololive IDOL PROJECT,至上主義アドトラック - Instrumental,Unknown,273,934,,,
hololive IDOL PROJECT,BLUE CLAPPER (Bouquet ver.),Bouquet,263,1950,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,キラメキライダー☆ - Instrumental,Unknown,262,874,,,
hololive IDOL PROJECT,Shiny Smily Story (Bouquet ver.),Bouquet,246,1753,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,至上主義アドトラック (Bouquet ver.),Unknown,246,1604,,,
hololive IDOL PROJECT,STARDUST SONG (Bouquet ver.),Bouquet,234,1666,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,Dreaming Days (Bouquet ver.),Bouquet,229,1654,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,Candy-Go-Round (Bouquet Ver.),Bouquet,224,1659,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,夢見る空へ - Instrumental,Unknown,215,677,,,
hololive IDOL PROJECT,百花繚乱花吹雪 - Instrumental,百花繚乱花吹雪 = Hyakka Ryoran Hanafubuki,209,728,,,
hololive IDOL PROJECT,今宵はHalloween Night! (Bouquet ver.),Unknown,205,1395,,,
hololive IDOL PROJECT,でいり〜だいあり〜！ - Sunshine ver.,Unknown,204,1238,,,
hololive IDOL PROJECT,Candy-Go-Round - Instrumental,Unknown,200,509,,,
hololive IDOL PROJECT,STARDUST SONG - Instrumental,Unknown,196,1069,,,
hololive IDOL PROJECT,でいり〜だいあり〜！ - Bouquet ver.,Unknown,181,622,,,
hololive IDOL PROJECT,百花繚乱花吹雪 (Bouquet ver.),Unknown,176,1311,,,
hololive IDOL PROJECT,Yumemiru Sora He,Yumemiru Sora He,174,944,,,
hololive IDOL PROJECT,大切フォトグラフ (Bouquet ver.),Unknown,164,1164,,,
hololive IDOL PROJECT,あすいろClearSky (Bouquet Ver.),Unknown,159,1364,,,
hololive IDOL PROJECT,キラメキライダー☆ (Bouquet ver.),Unknown,150,1168,,,
hololive IDOL PROJECT,夢見る空へ (Bouquet ver.),Unknown,140,1068,,,
hololive IDOL PROJECT,Kirameki Rider,Kirameki Rider,139,672,,,
hololive IDOL PROJECT,あすいろClearSky - Instrumental,Unknown,139,475,,,
hololive IDOL PROJECT,Dreaming Days - Instrumental,Unknown,132,364,,,
hololive IDOL PROJECT,でいり〜だいあり〜! - Instrumental,でいり〜だいあり〜! - Single,115,280,,,
hololive IDOL PROJECT,Shiny Smily Story (2022 Ver.),ホロライブ・サマー2022,113,608,"j-pop, hololive","j-pop, hololive",
hololive IDOL PROJECT,飛んでK！ホロライブサマー,飛んでK！ホロライブサマー,110,1128,,,
Fresno,Desde Quando Você Se Foi,Redenção,75250,818540,"fresno, emocore, pop rock, rock, emo","fresno, emocore, pop rock, rock, emo",
Fresno,Alguém Que Te Faz Sorrir,Redenção,58786,605770,"fresno, rock, emo, brazilian emocore, portugues","fresno, rock, emo, brazilian emocore, portugues",
Fresno,quebre as correntes,Ciano,53309,548065,"rock, fresno, emo, brazilian, punk rock","rock, fresno, emo, brazilian, punk rock",
Fresno,Eu Sei,Revanche,50754,600759,"fresno, rock, rock nacional, Love, Gloria","fresno, rock, rock nacional, Love, Gloria",
Fresno,Redenção,Redenção,48969,574005,"rock, emo, emocore, fresno, alternative rock","rock, emo, emocore, fresno, alternative rock",
Fresno,Porto Alegre,Revanche,47835,583135,"rock, fresno, emo, pop rock, Love","rock, fresno, emo, pop rock, Love",
Fresno,Uma Música,Redenção,47806,426735,"rock, emo, fresno, brasil, 00s emo","rock, emo, fresno, brasil, 00s emo",
Fresno,Milonga,Redenção,44522,678933,"rock, milonga, fresno, emo, brazilian","rock, milonga, fresno, emo, brazilian",
Fresno,"Diga, parte 2",Infinito,43256,655674,"alternative rock, brazilian rock, Pra pensar, soco na cara, emo","alternative rock, brazilian rock, Pra pensar, soco na cara, emo",
Fresno,Deixa O Tempo,Revanche,42821,464972,"rock, fresno, pop, brazilian, emocore","rock, fresno, pop, brazilian, emocore",
Fresno,Cada Poça Dessa Rua Tem um Pouco de Minhas Lágrimas,Ciano,40462,469250,"emo, fresno, rock, s2, punk","emo, fresno, rock, s2, punk",
Fresno,Polo,Redenção,39696,305203,"emo, rock, fresno, hardcore, brazilian","emo, rock, fresno, hardcore, brazilian",
Fresno,Sua Alegria Foi Cancelada,Unknown,32444,375149,"emo, Stoner Rock, shoegaze, post-hardcore, emocore","emo, Stoner Rock, shoegaze, post-hardcore, emocore",
Fresno,Cada Acidente,Unknown,31678,400423,"emo, Stoner Rock, shoegaze, post-hardcore, emocore","emo, Stoner Rock, shoegaze, post-hardcore, emocore",
Fresno,Revanche,Revanche,31574,360890,"rock, alterantive rock, Awesome, Energetic, chaos","rock, alterantive rock, Awesome, Energetic, chaos",
Fresno,absolutamente nada,Ciano,28084,293906,"emo, pop rock, fresno, Hadcore, alternative rock","emo, pop rock, fresno, Hadcore, alternative rock",
Fresno,Contas Vencidas,Redenção,27894,269052,"fresno, brazilian rock, rock, kim, emo","fresno, brazilian rock, rock, kim, emo",
Fresno,Casa Assombrada,Unknown,27350,447202,emo,emo,
Fresno,o arrocha mais triste do mundo,Unknown,27307,363734,"post-hardcore, arrocha","post-hardcore, arrocha",
Fresno,Relato De Um Homem de Bom Coração,Revanche,27002,323621,"alternative rock, rock nacional, hardcore, emo, melodic hardcore","alternative rock, rock nacional, hardcore, emo, melodic hardcore",
Fresno,Não Quero Lembrar,Redenção,26330,260125,"fresno, emo, emocore, fresno-, rock","fresno, emo, emocore, fresno-, rock",
Fresno,Já Faz Tanto Tempo (feat. Lulu Santos),Unknown,26069,385404,,,
Fresno,Infinito,Infinito,25905,300180,"emo, rock nacional, melodic hardcore, fresno, :3","emo, rock nacional, melodic hardcore, fresno, :3",
